chosen_title,chosen_url,chosen_call,rejected_title,rejected_url,rejected_call,call_distance
"Shenandoah Valley. Worker in Spitzer's Garage, Grottoes, one of the flourishing shops in the valley",https://tile.loc.gov/storage-services/service/pnp/fsa/8b09000/8b09000/8b09021_150px.jpg#h=150&w=116,2017689279,[Untitled],https://tile.loc.gov/storage-services/service/pnp/fsa/8b09000/8b09000/8b09024_150px.jpg#h=111&w=150,2017689282,3
"Sam Cox, county agent, is Chairman of the Rockingham County Committee",https://tile.loc.gov/storage-services/service/pnp/fsa/8b09000/8b09000/8b09022_150px.jpg#h=111&w=150,2017689280,[Untitled],https://tile.loc.gov/storage-services/service/pnp/fsa/8b09000/8b09000/8b09024_150px.jpg#h=111&w=150,2017689282,2
"Worker of J.E. Goode and Sons, Harrisonburg, takes time out for relaxation. This is one of the flourishing shops in the Valley",https://tile.loc.gov/storage-services/service/pnp/fsa/8b09000/8b09000/8b09023_150px.jpg#h=150&w=117,2017689281,[Untitled],https://tile.loc.gov/storage-services/service/pnp/fsa/8b09000/8b09000/8b09024_150px.jpg#h=111&w=150,2017689282,1
"Mr. H.B. Alexander, of Port Republic, Virginia, keeps himself busy by running a small cannery on his farm and selling his products throughout the Shenandoah Valley",https://tile.loc.gov/storage-services/service/pnp/fsa/8b09000/8b09000/8b09025_150px.jpg#h=112&w=150,2017689283,[Untitled],https://tile.loc.gov/storage-services/service/pnp/fsa/8b09000/8b09000/8b09024_150px.jpg#h=111&w=150,2017689282,1
Tinsmith at work in drainpipe section in one of the flourishing shops in the Shenandoah Valley,https://tile.loc.gov/storage-services/service/pnp/fsa/8b09000/8b09000/8b09026_150px.jpg#h=150&w=116,2017689284,[Untitled],https://tile.loc.gov/storage-services/service/pnp/fsa/8b09000/8b09000/8b09024_150px.jpg#h=111&w=150,2017689282,2
"Worker in Carl Wilbarger's machine shop in Harrisonburg, Virginia, the heart of the Shenandoah, Valley",https://tile.loc.gov/storage-services/service/pnp/fsa/8b09000/8b09000/8b09027_150px.jpg#h=112&w=150,2017689285,[Untitled],https://tile.loc.gov/storage-services/service/pnp/fsa/8b09000/8b09000/8b09024_150px.jpg#h=111&w=150,2017689282,3
"J.R. Martin, Senior Business Specialist, Office of Production Management (OPM)",https://tile.loc.gov/storage-services/service/pnp/fsa/8b01000/8b01000/8b01050_150px.jpg#h=117&w=150,2017699370,[Untitled],https://tile.loc.gov/storage-services/service/pnp/fsa/8b01000/8b01000/8b01053_150px.jpg#h=117&w=150,2017699373,3
"Herbert T.S. Ellison, Senior Business Specialist, Office of Production Management (OPM)",https://tile.loc.gov/storage-services/service/pnp/fsa/8b01000/8b01000/8b01051_150px.jpg#h=115&w=150,2017699371,[Untitled],https://tile.loc.gov/storage-services/service/pnp/fsa/8b01000/8b01000/8b01053_150px.jpg#h=117&w=150,2017699373,2
"Carl Sandburg, author of the commentary to the Office of Emergency Management (OEM) motion picture, ""Bomber"" discuuses some of the finer points of the construction of the Glenn L. Martin bomber with chief production test pilot, Roland Lee Sansbury",https://tile.loc.gov/storage-services/service/pnp/fsa/8b01000/8b01000/8b01052_150px.jpg#h=150&w=124,2017699372,[Untitled],https://tile.loc.gov/storage-services/service/pnp/fsa/8b01000/8b01000/8b01053_150px.jpg#h=117&w=150,2017699373,1
"Louis K. Comstock, Chairman, Board of Review, Office of Production Management (OPM)",https://tile.loc.gov/storage-services/service/pnp/fsa/8b01000/8b01000/8b01054_150px.jpg#h=116&w=150,2017699374,[Untitled],https://tile.loc.gov/storage-services/service/pnp/fsa/8b01000/8b01000/8b01053_150px.jpg#h=117&w=150,2017699373,1
"John F. Corwin, Acting Chief, Plastics Unit, Chemical Section, Office of Price Administration (OPA)",https://tile.loc.gov/storage-services/service/pnp/fsa/8b01000/8b01000/8b01055_150px.jpg#h=115&w=150,2017699375,[Untitled],https://tile.loc.gov/storage-services/service/pnp/fsa/8b01000/8b01000/8b01053_150px.jpg#h=117&w=150,2017699373,2
"Weapons from waste. Everytime street railway tracks are ripped out to make way for a bus line, it means additional tons of steel for the defense of democracy. Unused trolley and railroad and railway equipment and rails will provide much of the scrap steel needed for defense production",https://tile.loc.gov/storage-services/service/pnp/fsa/8b01000/8b01000/8b01056_150px.jpg#h=150&w=119,2017699376,[Untitled],https://tile.loc.gov/storage-services/service/pnp/fsa/8b01000/8b01000/8b01053_150px.jpg#h=117&w=150,2017699373,3
